1448.4811 	1465.2246 	1140.7427 
1139.5815 	1044.9737 	1148.8800 
1079.9892 	1388.8411 	1474.1473 
1133.7145 	1230.4930 	1285.5434 
1469.3485 	1072.9114 	1488.1758 
1344.9601 	1229.5409 	1400.7932 
1250.0558 	1058.7505 	1311.8899 
1413.9496 	1285.3971 	1099.5112 
1442.1372 	1331.0146 	1215.0284 
1447.8335 	1145.6630 	1359.7647 
1325.4018 	1170.8510 	1264.1666 
1489.2826 	1414.1958 	1140.0469 
1127.3580 	1425.4232 	1186.1117 
1184.7122 	1141.8056 	1258.5039 
1384.6203 	1323.0121 	1133.5241 
1414.9932 	1358.2030 	1220.4992 
1073.1806 	1021.7853 	1282.5669 
1367.0590 	1324.7059 	1268.5557 
1415.5691 	1061.3417 	1393.6484 
1214.0056 	1332.0650 	1264.6730 
1233.2126 	1423.2723 	1158.1895 
1246.9731 	1367.2968 	1362.4352 
1274.7935 	1444.5113 	1238.1924 
1372.6726 	1461.3379 	1011.8928 
1025.1179 	1112.5896 	1008.3386 
1487.8418 	1497.7804 	1007.8997 
1158.6970 	1101.4591 	1015.7167 
1370.1094 	1491.6927 	1057.6127 
1143.7875 	1058.1001 	1009.9339 
1376.9790 	1428.6828 	1154.8643 
1110.7078 	1462.2342 	1382.2527 
1245.5693 	1259.6525 	1271.3407 
1000.5703 	1088.9893 	1088.8012 
1133.5860 	1260.7300 	1204.1495 
1222.9449 	1105.4577 	1289.2173 
1115.3619 	1193.4613 	1413.8738 
1059.3044 	1094.9665 	1070.7645 
1253.9540 	1207.7884 	1063.4227 
1163.8934 	1380.8828 	1234.1560 
1205.0118 	1180.7871 	1283.0140 
1067.3054 	1187.8942 	1236.5694 
1009.2653 	1238.1617 	1352.9857 
1307.0905 	1044.3252 	1300.9071 
1171.7687 	1109.3054 	1360.3448 
1294.7927 	1233.6903 	1126.9643 
1304.8669 	1353.0759 	1010.1195 
1345.2526 	1261.6420 	1241.0129 
1402.5977 	1173.4912 	1232.4123 
1121.4322 	1209.5250 	1120.4045 
1352.7497 	1056.0136 	1073.0388 
1265.1806 	1176.9298 	1147.3524 
1240.6916 	1410.8285 	1451.6109 
1150.9200 	1066.9436 	1361.0486 
1040.5883 	1130.4899 	1131.6763 
1083.8552 	1042.0059 	1139.6960 
1426.2813 	1237.8334 	1003.3550 
1060.8761 	1390.0403 	1496.7455 
1401.7743 	1252.0244 	1035.4048 
1118.3105 	1156.9431 	1130.8757 
1072.4598 	1156.9922 	1257.7371 
1117.6025 	1498.0009 	1377.4069 
1064.8046 	1200.0478 	1268.7605 
1242.1701 	1014.6459 	1073.9159 
1044.1384 	1253.3092 	1357.5321 
1446.9294 	1445.7126 	1281.4079 
1157.5303 	1220.8977 	1026.0635 
1340.5693 	1458.5300 	1037.8304 
1050.7256 	1224.2496 	1408.6147 
1170.4712 	1435.1041 	1170.1446 
1457.4570 	1030.8142 	1195.6106 
1360.1595 	1344.9113 	1347.3432 
1405.9489 	1141.8425 	1261.7543 
1001.5669 	1122.9164 	1473.3238 
1266.1068 	1002.8226 	1455.3733 
1490.0777 	1083.7869 	1310.4601 
1131.3458 	1420.0292 	1427.0699 
1250.5610 	1068.0742 	1459.4726 
1292.4106 	1127.5446 	1312.6299 
1217.2985 	1248.8811 	1096.3131 
1265.3046 	1420.0277 	1094.0954 
1130.5147 	1093.1012 	1304.7830 
1173.1934 	1270.4195 	1198.2036 
1329.0001 	1132.1473 	1184.0208 
1272.5446 	1206.2755 	1269.7117 
1130.0368 	1255.0879 	1300.4827 
1008.3356 	1050.8776 	1472.1957 
1280.4044 	1430.9011 	1474.5104 
1433.3748 	1231.7417 	1215.4221 
1470.3037 	1484.7913 	1364.5809 
1363.5036 	1369.1472 	1040.2470 
1023.2394 	1421.2358 	1436.0007 
1301.7954 	1026.7399 	1294.7496 
1498.5350 	1271.0448 	1372.0041 
1114.8395 	1470.9662 	1495.3535 
1269.0201 	1424.1627 	1071.5733 
1038.2904 	1334.4595 	1073.2787 
1330.4932 	1440.5332 	1241.3026 
1193.8569 	1428.8981 	1410.1999 
1471.3338 	1376.0374 	1247.0091 
1370.6654 	1327.9717 	1423.0279 
